title,isbn10,isbn13,cover_url
Superintelligence,0199678111,9780199678112,https://covers.openlibrary.org/b/isbn/9780199678112-M.jpg
Steve Jobs,1451648537,9781451648539,https://covers.openlibrary.org/b/isbn/9781451648539-M.jpg
Harry Potter and the Deathly Hallows,1408865459,9781408865453,https://covers.openlibrary.org/b/isbn/9781408865453-M.jpg
American Kingpin,1591848148,9781591848141,https://covers.openlibrary.org/b/isbn/9781591848141-M.jpg
"Rich Dad, Poor Dad",0751532711,9780751532715,https://covers.openlibrary.org/b/isbn/9780751532715-M.jpg
Let My People Go Surfing,0143037838,9780143037835,https://covers.openlibrary.org/b/isbn/9780143037835-M.jpg
The Bitcoin Standard,1119473861,9781119473862,https://drive.google.com/uc?export=view&id=1MmOgR1Gj-YscdE_GbJKDBC5M4GTVc-uQ
Angels and Demons,0552161268,9780552161268,https://covers.openlibrary.org/b/isbn/9780552161268-M.jpg
Zen and the Art of Motorcycle Maintenance,0060589469,9780060589462,https://covers.openlibrary.org/b/isbn/9780060589462-M.jpg
Rework,0307463745,9780307463746,https://covers.openlibrary.org/b/isbn/9780307463746-M.jpg
Elon Musk,0062301233,9780062301239,https://covers.openlibrary.org/b/isbn/9780062301239-M.jpg
Shoe Dog,1501135910,9781501135910,https://covers.openlibrary.org/b/isbn/9781501135910-M.jpg
Digital Minimalism,0241341159,9780241341155,https://drive.google.com/uc?export=view&id=1LRD4slX1wk1lEhiJC_bthXTDsSE_FLTH
Zero to One,0804139296,9780804139298,https://covers.openlibrary.org/b/isbn/9780804139298-M.jpg
The War of Art,0446691437,9780446691437,https://covers.openlibrary.org/b/isbn/9780446691437-M.jpg
Finding My Virginity,0735219427,9780735219427,https://covers.openlibrary.org/b/isbn/9780735219427-M.jpg
How to Get Rich,009192166X,9780091921668,https://covers.openlibrary.org/b/isbn/9780091921668-M.jpg
Rich Dad's Cashflow Quadrant,0446677477,9780446677479,https://covers.openlibrary.org/b/isbn/9780446677479-M.jpg
Way of the Wolf,1501164287,9781501164286,https://drive.google.com/uc?export=view&id=1DyZDliJNGprqI_DuO2XUxC917DLzSGWo
Can't Hurt Me,1544507852,9781544507859,https://covers.openlibrary.org/b/isbn/9781544507859-M.jpg
A Short History of Nearly Everything,076790818X,9780767908184,https://covers.openlibrary.org/b/isbn/9780767908184-M.jpg
Brief Answers to the Big Questions,1984819194,9781984819192,https://covers.openlibrary.org/b/isbn/9781984819192-M.jpg
The Basics of Bitcoins and Blockchains,1633538001,9781633538009,https://covers.openlibrary.org/b/isbn/9781633538009-M.jpg
Extreme Ownership,125018472X,9781250184726,https://drive.google.com/uc?export=view&id=1Nwj9txMulSqKw-m5DNhYZ4ITVpZ2Vekf
Measure What Matters,0525538348,9780525538349,https://covers.openlibrary.org/b/isbn/9780525538349-M.jpg
Creative Selection,1250194474,9781250194473,https://covers.openlibrary.org/b/isbn/9781250194473-M.jpg
